recipe_id,recipe_name,recipe_main_ingredient,recipe_link,Cuisine,recipe_image,notes,contributed_by,alternatives
86,Scallop in Pesto Cream Sauce,Seafood,https://www.instagram.com/p/CWNNG8lFGyE/,,,,,
87,Korean Bibimbap,Rice,https://fb.watch/9kOVe6Tb5p/,,,,,
88,Unmeat Nacho Bake,Grains,https://www.instagram.com/p/CUcUBIOFPQp/,,,,,
89,Oriental Garlic Noodles,Pasta,https://www.instagram.com/p/CUj_wm6lmrw/,,,,,
90,Salmon Samgyup,Fish,https://www.instagram.com/p/CUpbsCIF-mS/,,,,,
91,Beef Stir Fry,Beef,https://www.instagram.com/p/CUurYx0FHe-/,,,,,
92,Delimondo Caldereta,Beef,https://www.instagram.com/p/CUxPqREFV44/,,,,,
93,Oven Pancakes,Bread,https://www.instagram.com/p/CU1HbGthDUp/,,,,,
94,Eggplant Parmigiana,Vegetable,https://www.instagram.com/p/CVEt1XINnoK/,,,,,
95,Cheesy Spamsilog,Pork,https://www.instagram.com/p/CVZm_3DlJlJ/,,,,,
96,Baked Macaroni,Pasta,https://www.instagram.com/p/CVezIdoF6Nn/,,,,,
97,Biko with Latik,Rice,https://panlasangpinoy.com/how-to-make-biko-with-latik/,,,,,
98,Shrimp in Garlic Cream Sauce,Seafood,https://www.instagram.com/p/CVjzimZvfdD/,,,,,
99,Beef Tips with Corn,Beef,https://www.instagram.com/p/CVmPez6glIh/,,,,,
100,Bulanglang,Vegetable,https://www.instagram.com/p/CVsIpRDFOlM/,,,,,
101,Sinaing na Tambakol,Fish,https://www.instagram.com/p/CVunU_Wlr1X/,,,,,
102,Crispy Tawilis,Fish,https://www.instagram.com/p/CV1v591F-AB/,,,,,
103,Pork Katsu Curry,Pork,https://www.instagram.com/p/CV4kzkpF4d_/,,,,,
104,Pizza Fita,Bread,https://www.instagram.com/p/CV9woq2lUmv/,,,,,
105,Eggplant Discs,Vegetable,https://www.instagram.com/p/CWFGzIDPhGo/,,,,,
106,Clear Corn Soup,Soup,https://www.instagram.com/p/CWH_okWl3cw/,,,,,
107,Homemade Pesto Sauce,Sauce,https://www.instagram.com/p/CWPWVjGvB6M/,,,,,
108,Pochero,Pork,https://panlasangpinoy.com/pochero/#recipe,,,,,
109,Basque Burnt Cheesecake,Cake,https://butternutbakeryblog.com/basque-burnt-cheesecake/,,,,,
110,Squash Mac and Cheese,Pasta,https://www.yummytoddlerfood.com/recipes/dinner/5-ingredient-butternut-squash-mac-and-cheese,,,,,
111,Honey Garlic Chicken Wings,Chicken,https://www.instagram.com/p/CVyGUqUF_cp/,,,,,
112,Taiwanese Chicken Cutlet,Chicken,https://www.instagram.com/p/CVdfy3eF3BP/,,,,,
113,Batter Fried Shrimp,Seafood,https://diethood.com/baked-batter-fried-shrimp-garlic-dipping-sauce/,,,,,
114,Swedish Meatballs,Pork,https://damndelicious.net/2014/02/21/swedish-meatballs/,,,,,
115,Brocolli Cheese Soup,Soup,https://therecipecritic.com/copycat-panera-broccoli-cheese-soup/,,,,,
116,Panda Express Honey Walnut Shrimp,Seafood,https://dinnerthendessert.com/panda-express-honey-walnut-shrimp/,,,,,
117,PF Chang's Chicken Lettuce Wrap,Chicken,https://www.crunchycreamysweet.com/p-f-changs-chicken-lettuce-wraps-copycat/,,,,,
118,Korean Fried Chicken,Chicken,https://www.instagram.com/p/CWLLFAlgOr9/,,,,,
119,Flat Bread Dough,Bread,https://www.instagram.com/p/CUzwQ6KBEXF/,,,,,
120,Pinakbet,Vegetable,https://www.simpol.ph/localife/pinakbet,,,,,
121,Shrimp Scampi,Seafood,https://www.instagram.com/p/CK2qKyihgXW/,,,,,
122,Sinigang Seasoned Fried Chicken,Chicken,https://www.knorr.com/ph/recipe-ideas/sinigang-seasoned-fried-chicken.html,,,,,
123,Chicken Tinola,Chicken,https://www.knorr.com/ph/recipe-ideas/chicken-tinola.html,,,,,
124,Ginisang Monggo,Vegetable,https://www.knorr.com/ph/recipe-ideas/ginisang-monggo.html,,,,,
125,Ginitaang Gulay,Vegetable,https://www.knorr.com/ph/recipe-ideas/ginataang-gulay-recipe.html,,,,,
126,Ginitaang Langka with Liempo,Vegetable,https://www.knorr.com/ph/recipe-ideas/ginataang-langka-with-liempo-recipe.html,,,,,
127,Creamy Shrimp and Fusilli Pasta,Pasta,https://createwithcream.ph/recipe/creamy-shrimp-and-fusilli-pasta,,,,,
128,Chicken Teriyaki,Chicken,https://www.instagram.com/p/CJkF16LHvQU/,,,,,
129,Picadillo,Pork,https://panlasangpinoy.com/picadillo-recipe/#recipe,,,,,
130,Chicken Pastel,Chicken,https://www.createwithnestle.ph/recipes/chicken-pastel-in-creamy-sauce,,,,,
131,Bangus Steak,Fish,https://theodehlicious.com/bangus-steak-recipe/,,,,,
132,Grilled Bangus,Fish,,,,,,
133,Mama's Pansit,Noodles,,,,,,
134,Mango Float,Fruit,,,,,,
135,Beef Lasagna,Pasta,,,,,,
136,Creamy Garlic Pasta,Pasta,,,,,,
137,Aglio Olio Pasta,Pasta,,,,,,
138,Creamy Truffle Pasta,Pasta,,,,,,
139,Fettuccine Alfredo,Pasta,,,,,,
140,Pesto Pasta,Pasta,,,,,,
141,Caesar Salad Wrap,Vegetable,,,,,,
142,Chicken Noodle Soup,Soup,,,,,,
143,Chicken Roulade,Chicken,,,,,,
144,Chicken Satay,Chicken,,,,,,
145,Chicken ala Millanese,Chicken,,,,,,
146,Chicken and Bacon Pasta,Pasta,,,,,,
147,Chicken with Garlic Pepper Sauce,Chicken,,,,,,
148,Easy Chicken Stock Recipe,Stock,https://www.seriouseats.com/best-rich-easy-white-chicken-stock-recipe,,,,,
149,Chicken and Cheese Quesadillas,Chicken,https://www.yummy.ph/recipe/chicken-and-cheese-quesadillas,,,,,
150,Chicken Adobo,Chicken,https://panlasangpinoy.com/filipino-chicken-adobo-recipe/,,Filipino,,,
151,Grilled Chicken,Chicken,,,,,,
152,Pandan Chicken,Chicken,,,,,,
153,Butter Chicken Masala,Chicken,,,,,,
154,Chicken Katsu,Chicken,,,,,,
155,Chicken Caesar Wrap,Chicken,,,,,,
156,Chicken Pot Pie,Chicken,,,,,,
157,Buffalo Chicken Wings,Chicken,,,,,,
158,Hainanese Chicken Rice,Chicken,,,,,,
159,Beef Stroganoff,Beef,,,,,,
160,Roast Beef with Carrots,Beef,,,,,,
161,Roast Beef Sandwich,Sandwich,,,,,,
162,Beef Stew,Beef,,,,,,
163,Korean Style Beef and Rice,Beef,,,Korean,,,
164,Beef Empanadas,Bread,,,,,,
165,Greek Beef Kebabs,Beef,,,Greek,,,
166,Gyudon Beef Rice Bowl,Beef,,,Japanese,,,
167,Beef Curry,Beef,,,Japanese,,,
168,Beef Steak Fajitas,Beef,,,,,,
169,Beef Pho,Soup,,,Vietnamese,,,
170,Beef Burger Sandwich,Sandwich,,,,,,
171,Beef Pot Pie,Beef,,,,,,
172,Bistek,Beef,,,Filipino,,,
173,Garlic Ground Beef with Beans,Beef,,,,,,
174,Spaghetti with Meatballs,Pasta,,,,,,
175,Rib-eye Steak,Beef,,,,,,
176,Beef Pares,Beef,,,Filipino,,,
177,Beef Bolognese,Beef,,,,,,
178,Beef Fried Rice,Rice,,,,,,
179,Beef Short Ribs,Beef,,,,,,
180,Philly Cheesesteak,Sandwich,,,American,,,
181,Beef and Vegetable Stir Fry,Beef,,,,,,
182,Salisbury Steak with Onion Gravy,Beef,,,,,,
183,Rigatoni Meatball Bake,Pasta,,,,,,
184,Sloppy Joe Burger,Beef,,,,,,
185,Cheesy Stuffed Pork Tonkatsu,Pork,,,Japanese,,,
186,Pan Seared Porkchops,Pork,,,,,,
187,Caramelized Orange Pork Roast,Pork,,,,,,
188,Passion Fruit and Ginger Glazed Pork Tenderloin,Pork,,,,,,
189,Barbecued Pork Sandiwch,Pork,,,,,,
190,Grilled Pork Chops,Pork,,,,,,
191,Stir Fried Pork,Pork,,,,,,
192,Pork and Asparagus Soba,Pork,,,,,,
193,Soy and Honey Pork Belly,Pork,,,,,,
194,Grilled Pork Chop with Mango Salsa,Pork,,,,,,
195,Honey Garlic Pork Chops,Pork,,,,,,
196,Herb Crusted Pork Chops,Pork,,,,,,
197,Five Spice Braised Pork and Pineapple,Pork,,,,,,
198,Pork Chop with Caramelized Apple,Pork,,,,,,
199,Pork Empanadas,Pork,,,,,,
200,Sweet and Spicy Pork Belly,Pork,,,,,,
201,Pork Lettuce Cups,Pork,,,,,,
202,Pork Katsudon,Pork,,,,,,
203,Pork Schnitzel,Pork,,,Germany,,,
204,Pork Fajitas,Pork,,,Mexican,,,
